           R               Z        optimized_a            E_exact              E_itp             E_diff
8.2000000000000011 0.6893928283112645 0.5844552547043185 -0.6241525999999999 -0.6241525999915268 -0.0000000000084731
8.3000000000000007 0.6887014990944058 0.5834514717666650 -0.6225197000000000 -0.6225196999948357 -0.0000000000051643
8.4000000000000004 0.6879859286185329 0.5823680136504309 -0.6209343000000001 -0.6209342999988395 -0.0000000000011605
8.5000000000000018 0.6872470478538044 0.5812080807262588 -0.6193942000000000 -0.6193942000079222 0.0000000000079222
8.6000000000000014 0.6864857643539883 0.5799742978875690 -0.6178975000000000 -0.6178975000075134 0.0000000000075134
8.7000000000000011 0.6857029627674196 0.5786698121413634 -0.6164422000000001 -0.6164422000083535 0.0000000000083534
8.8000000000000007 0.6848995053375636 0.5772977180405759 -0.6150264000000000 -0.6150264000001225 0.0000000000001226
8.9000000000000004 0.6840762323933838 0.5758607665790757 -0.6136484000000000 -0.6136483999952462 -0.0000000000047538
9.0000000000000018 0.6832339628297194 0.5743616294972862 -0.6123066000000000 -0.6123066000001928 0.0000000000001927
9.1000000000000014 0.6823734945778616 0.5728031591364835 -0.6109994000000000 -0.6109993999988278 -0.0000000000011722
9.2000000000000011 0.6814956050665268 0.5711878266479724 -0.6097254000000000 -0.6097254000030168 0.0000000000030168
9.3000000000000007 0.6806010516734087 0.5695179859218901 -0.6084832999999999 -0.6084833000056390 0.0000000000056390
9.4000000000000004 0.6796905721674980 0.5677964055234335 -0.6072717000000000 -0.6072717000171672 0.0000000000171673
9.5000000000000018 0.6787648851423496 0.5660254384729635 -0.6060894000000000 -0.6060894000103310 0.0000000000103310
9.6000000000000014 0.6778246904404748 0.5642075573332921 -0.6049352000000000 -0.6049352000058622 0.0000000000058622
9.7000000000000011 0.6768706695690305 0.5623450720835810 -0.6038080000000000 -0.6038080000094485 0.0000000000094484
